French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
chaque,each
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
dont,whose
perdu,lost
main,hand
première,first
côté,side
vieux,old
sois,be
matin,morning
enfant,child
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
eau,water
parti,left
nouvelle,new
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
